Team,Passes,Half
Away ,6,1
Away ,10,1
Turo ,1,1
Turo ,2,1
Away ,4,1
Turo ,2,1
Away ,7,1
Away ,2,1
Away ,5,1
Away ,7,1
Turo ,3,1
Away ,7,1
Turo ,2,1
Away ,2,1
Turo ,2,1
Away ,3,1
Away ,5,1
Turo ,5,1
Turo ,3,1
Away ,2,1
Turo ,1,1
Away ,5,1
Turo ,3,1
Away ,11,1
Away ,6,1
Away ,2,1
Turo ,2,1
Turo ,1,1
Turo ,2,1
Away ,4,1
Away ,5,1
Away ,4,1
Turo ,4,1
Turo ,2,1
Away ,1,1
Away ,1,1
Turo ,2,1
Away ,1,1
Turo ,1,1
Away ,3,1
Away ,3,1
Away ,2,2
Turo ,2,2
Away ,6,2
Turo ,1,2
Turo ,1,2
Away ,4,2
Turo ,2,2
Away ,1,2
Away ,1,2
Away ,2,2
Away ,4,2
Turo ,2,2
Away ,8,2
Away ,1,2
Away ,1,2
Turo ,2,2
Turo ,1,2
Away ,7,2
Turo ,2,2
Away ,4,2
Turo ,4,2
Turo ,1,2
Turo ,1,2
Away ,5,2
Turo ,3,2
Turo ,2,2
Turo ,3,2
Away ,4,2
Turo ,2,2
Away ,4,2
Turo ,3,2
Away ,2,2
Turo ,5,2
Away ,4,2
Turo ,3,2
Away ,5,2
Turo ,2,2
Turo ,2,2
Turo ,1,2
Away ,3,2
Away ,1,2
Away ,2,2
Away ,2,2
Away ,1,2
Away ,6,2
Turo ,2,2
Away ,4,2
Turo ,4,2
Away ,1,2
Turo ,2,2
Away ,2,2
Turo ,1,2
Away ,5,2
Turo ,1,2
Away ,4,2
Turo ,1,2
Turo ,1,2
Away ,5,2
Turo ,2,2
Away ,1,2
Turo ,3,2
Away ,3,2
Away ,9,2
Turo ,3,2
Away ,1,2
Turo ,1,2
Away ,7,2
Turo ,2,2
Turo ,1,2
Turo ,2,2
Away ,5,2
Turo ,3,2
Away ,1,2
Turo ,2,2
Away ,4,2
Away ,5,2
Turo ,1,2
Away ,2,2
Turo ,2,2